Property Address,Unit,Bedrooms,Area,Listing Link,Parking,Zip Code,Subsidy Accepted,Accepts Down Voucher
12806 Matteson Ave,2,1-Bedroom,Mar Vista,https://www.affordablehousing.com/los-angeles-ca/12806-matteson-ave-795915/,1 Space,90066,BC,-
12625 Mitchell Ave,6,1-Bedroom,Mar Vista,https://www.affordablehousing.com/los-angeles-ca/12625-mitchell-ave-795867/,No Parking,90066,BC,-
4238 Lindblade Dr,9,1-Bedroom,Mar Vista,https://www.affordablehousing.com/los-angeles-ca/4238-lindblade-dr-783335/,2 Spaces,90066,BC,-
3800 Mentone Ave,311,1-Bedroom,Culver City,https://www.affordablehousing.com/culver-city-ca/3800-mentone-ave-813421/,No Parking,90232,BC,-
3647 Vinton Ave,9,1-Bedroom,Culver City,https://www.affordablehousing.com/los-angeles-ca/3647-vinton-ave-807489/,1 Space,90034,BC,-
2470 Purdue Ave,Multiple,1-Bedroom,West LA,https://www.affordablehousing.com/los-angeles-ca/2470-purdue-ave-816385/,1 Space,90064,BC,-
7712 Hollywood Blvd,8,1-Bedroom,Hollywood,https://www.affordablehousing.com/los-angeles-ca/7706-hollywood-blvd-794376/,1 Space,90046,BC,-
2211 S Bronson Ave,2213 1/2,1-Bedroom,Mid-City,https://www.affordablehousing.com/los-angeles-ca/2211-s-bronson-ave-821793/,1 Space,90018,HACLA / BC,-
1915 Santa Ynez St,1915 7/8,1-Bedroom,Silver Lake,https://www.affordablehousing.com/los-angeles-ca/1915-santa-ynez-st-821799/,1 Space,90026,HACLA / BC,-
520 1/2 S Rampart Blvd,3,1-Bedroom,Westlake,https://www.affordablehousing.com/los-angeles-ca/520-s-rampart-blvd-788285/,No Parking,90057,HACLA / BC,-
1024 Menlo Ave,1/4,1-Bedroom,Koreatown,https://www.affordablehousing.com/los-angeles-ca/1211-menlo-ave-806325/,1 Space,90006,HACLA / BC,-
1839 W 12th St,301,1-Bedroom,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1839-w-12th-st-los-angeles-ca-90006-usa-676665/,No Parking,90006,HACLA / BC,-
1019 Albany St,11,1-Bedroom,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1019-albany-st-791724/,No Parking,90015,HACLA / BC,-
1201 Magnolia Ave,104,1-Bedroom,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1201-magnolia-ave-680139/,1 Space,90006,HACLA / BC,-
1327 Magnolia Ave,108,1-Bedroom,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1327-magnolia-ave-821760/,No Parking,90006,HACLA / BC,-
1351 E 41st Pl,1/2,1-Bedroom,South LA,https://www.affordablehousing.com/los-angeles-ca/1351-e-41st-st-684897/,No Parking,90011,HACLA / BC,-
662 E 42nd St,664 1/2,1-Bedroom,South LA,https://www.affordablehousing.com/los-angeles-ca/662-e-42nd-st-802076/,No Parking,90011,HACLA / BC,-
7804 S Western Ave,7804 1/2,1-Bedroom,South LA,https://www.affordablehousing.com/los-angeles-ca/7804-s-western-ave-821797/,No Parking,90047,HACLA / BC,-
6501 Cherry Ave,Multiple,1-Bedroom,Long Beach,https://www.affordablehousing.com/long-beach-ca/6501-cherry-ave-821805/,No Parking,90805,BC,-
5807 Laurel Canyon Blvd,104,1-Bedroom,Studio City,https://www.affordablehousing.com/valley-village-ca/5807-laurel-canyon-blvd-794350/,1 Space,91607,HACLA / BC,-
7650 Van Nuys Blvd,Multiple,1-Bedroom,Van Nuys,https://www.affordablehousing.com/van-nuys-ca/7650-van-nuys-blvd-803936/,No Parking,91405,HACLA / BC,-
610 N Soto St,Multiple,1-Bedroom,East LA,https://www.affordablehousing.com/los-angeles-ca/610-n-soto-st-817392/,No Parking,90033,HACLA / BC,-
2025 New Jersey St,102,1-Bedroom,East LA,https://www.affordablehousing.com/los-angeles-ca/2025-new-jersey-st-810058/,No Parking,90033,BC,-
10015 Alondra Blvd,Multiple,1-Bedroom,Bellflower,https://www.affordablehousing.com/bellflower-ca/10015-alondra-blvd-813787/,1 Space,90706,BC,-
15741 Blaine Ave,Multiple,1-Bedroom,Bellflower,https://www.affordablehousing.com/bellflower-ca/15741-blaine-ave-813785/,1 Space,90706,BC,-
259 Euclid Ave,2,1-Bedroom,Pasadena,https://www.affordablehousing.com/pasadena-ca/259-n-euclid-ave-821802/,1 Space,91101,BC,-
1559 N Hill Ave,Multiple,1-Bedroom,Pasadena,https://www.affordablehousing.com/pasadena-ca/1559-n-hill-ave-785468/,1 Space,91104,BC,-
3647 Vinton Ave,5,2-Bedrooms,Culver City,https://www.affordablehousing.com/los-angeles-ca/3647-vinton-ave-807483/,1 Space,90034,BC,-
8960 Hargis St,7,2-Bedrooms,Mid-City,https://www.affordablehousing.com/los-angeles-ca/8960-hargis-st-821750/,No Parking,90034,HACLA / BC,-
8558 Holloway Dr,308B,2-Bedrooms,West Hollywood,https://www.affordablehousing.com/west-hollywood-ca/8558-holloway-dr-784395/,1 Space,90069,BC,-
3160 Hollycrest Dr,1,2-Bedrooms,Hollywood,https://www.affordablehousing.com/los-angeles-ca/3160-hollycrest-dr-808977/,1 Space,90046,HACLA / BC,-
1427 N Hobart Blvd,1/2,2-Bedrooms,Hollywood,https://www.affordablehousing.com/los-angeles-ca/1427-n-hobart-blvd-784488/,1 Space,90027,HACLA / BC,Yes
619 N Kingsley Dr,H,2-Bedrooms,Hollywood,https://www.affordablehousing.com/los-angeles-ca/619-n-kingsley-dr-807453/,No Parking,90004,HACLA / BC,-
226 N Berendo St,Multiple,2-Bedrooms,Koreatown,https://www.affordablehousing.com/los-angeles-ca/226-n-berendo-st-807941/,No Parking,90004,BC,-
3426 W 1st St,204,2-Bedrooms,Koreatown,https://www.affordablehousing.com/los-angeles-ca/3426-w-1st-st-784498/,1 Space,90004,HACLA / BC,-
960 S Ardmore Ave,3,2-Bedrooms,Koreatown,https://www.affordablehousing.com/los-angeles-ca/960-s-ardmore-ave-816314/,No Parking,90006,HACLA / BC,-
1245 Magnolia Ave,1/3,2-Bedrooms,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1201-magnolia-ave-680139/,No Parking,90006,HACLA / BC,-
1414 S St Andrews Pl,301,2-Bedrooms,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1414-s-st-andrews-pl-794531/,1 Space,90019,HACLA / BC,Yes
1550 2nd Ave,7,2-Bedrooms,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1550-2nd-ave-801007/,1 Space,90019,HACLA / BC,-
1640 S St Andrews Pl,4,2-Bedrooms,Pico-Union,https://www.affordablehousing.com/los-angeles-ca/1640-s-st-andrews-pl-784507/,1 Space,90019,HACLA / BC,-
1876 W 24th St,1876,2-Bedrooms,West Adams,https://www.affordablehousing.com/los-angeles-ca/1876-w-24th-st-784513/,No Parking,90018,HACLA / BC,-
3807 W Adams Blvd,1/4,2-Bedrooms,West Adams,https://www.affordablehousing.com/los-angeles-ca/3807-w-adams-blvd-813781/,No Parking,90018,HACLA / BC,-
3903 W 27th St,6,2-Bedrooms,West Adams,https://www.affordablehousing.com/los-angeles-ca/3903-w-27th-st-795917/,1 Space,90018,HACLA / BC,-
1026 W 22nd St,19,2-Bedrooms,West Adams,https://www.affordablehousing.com/los-angeles-ca/1026-w-22nd-st-676661/,No Parking,90007,HACLA / BC,-
3817 Gibraltar Ave,9,2-Bedrooms,Baldwin Hills,https://www.affordablehousing.com/los-angeles-ca/3817-gibraltar-ave-784516/,1 Space,90008,HACLA / BC,-
3861 Potomac Ave,1,2-Bedrooms,Baldwin Hills,https://www.affordablehousing.com/los-angeles-ca/3861-potomac-ave-794392/,1 Space,90008,HACLA / BC,-
5050 Coliseum St,1,2-Bedrooms,Crenshaw,https://www.affordablehousing.com/los-angeles-ca/5050-coliseum-st-817587/,No Parking,90016,HACLA / BC,-
6210 10th Ave,Multiple,2-Bedrooms,Crenshaw,https://www.affordablehousing.com/los-angeles-ca/6210-10th-ave-784518/,No Parking,90043,HACLA / BC,Yes
845 E 28th St,110,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/845-e-28th-st-807431/,1 Space,90011,HACLA / BC,-
1321 W 39th St,1/2,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1321-w-39th-st-794379/,1 Space,90062,HACLA / BC,-
1122 E 49th St,-,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1122-e-49th-st-794377/,1 Space,90011,HACLA / BC,-
314 W 63rd Pl,-,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/314-w-63rd-pl-794391/,1 Space,90003,HACLA / BC,-
1408 W 80th St,5,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1408-w-80th-st-821808/,1 Space,90047,HACLA / BC,-
832 W 83rd St,-,2-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/832-w-83rd-st-817652/,1 Space,90044,HACLA / BC,-
1540 W 145th St,Multiple,2-Bedrooms,Gardena,https://www.affordablehousing.com/gardena-ca/1540-w-145th-st-797439/,1 Space,90247,BC,-
6501 Cherry Ave,1,2-Bedrooms,Long Beach,https://www.affordablehousing.com/long-beach-ca/6303-cherry-ave-803932/,No Parking,90805,BC,Yes
5645 Farmdale Ave,302,2-Bedrooms,North Hollywood,https://www.affordablehousing.com/north-hollywood-ca/5645-farmdale-ave-812300/,No Parking,91601,HACLA / BC,-
5371 Louis Pl,3,2-Bedrooms,East LA,https://www.affordablehousing.com/east-los-angeles-ca/5371-louis-pl-813151/,No Parking,90022,BC,Yes
8558 Holloway Dr,Multiple,3-Bedrooms,West Hollywood,https://www.affordablehousing.com/west-hollywood-ca/8558-holloway-dr-799205/,No Parking,90069,BC,Yes
1419 N New Hampshire Ave,Multiple,3-Bedrooms,Hollywood,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821332/,No Parking,90017,HACLA / BC,-
872 W 42nd Pl,-,3-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/872-w-42nd-pl-812057/,No Parking,90037,HACLA / BC,-
1120 E 49th St,1/2,3-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1120-e-49th-st-817617/,1 Space,90011,HACLA / BC,-
1426 E 51st St,Multiple,3-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1426-e-51st-st-816306/,No Parking,90011,HACLA / BC,-
1050 W 57th St,1050 1/2,3-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/1050-w-57th-st-812543/,No Parking,90037,HACLA / BC,Yes
634 E 27th St,Multiple,4-Bedrooms,South LA,https://www.affordablehousing.com/los-angeles-ca/479-e-49th-st-784752/,2 Spaces,90011,HACLA / BC,-
4562 Catalpa St,-,4-Bedrooms,East LA,https://www.affordablehousing.com/los-angeles-ca/4562-catalpa-st-820583/,2 Spaces,90032,HACLA / BC,-
1221 Myra Ave,223,5-Bedrooms,Silver Lake,https://www.affordablehousing.com/los-angeles-ca/1221-myra-ave-784855/,No Parking,90029,HACLA / BC,Yes
5806 Lexington Ave,304,6-Bedrooms,Hollywood,https://www.affordablehousing.com/los-angeles-ca/5806-lexington-ave-794439/,1 Space,90038,HACLA / BC,Yes
3800 Mentone Ave,409,Studio,Culver City,https://www.affordablehousing.com/culver-city-ca/3800-mentone-ave-813424/,No Parking,90232,HACLA / BC,-
3820 Overland Ave,Multiple,Studio,Culver City,https://www.affordablehousing.com/culver-city-ca/3820-overland-ave-822424/,No Parking,90232,HACLA / BC,-
11311 La Grange Ave,314,Studio,West LA,https://www.affordablehousing.com/los-angeles-ca/11311-la-grange-ave-814431/,No Parking,90025,HACLA / BC,-
11701 Santa Monica Blvd,415,Studio,West LA,https://www.affordablehousing.com/los-angeles-ca/11701-santa-monica-blvd-812534/,1 Space,90025,HACLA / BC,-
5128 De Longpre Ave,1,Studio,Hollywood,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821329/,1 Space,90027,HACLA / BC,-
800 N Vermont Ave,214,Studio,Silver Lake,https://www.affordablehousing.com/los-angeles-ca/5128-de-longpre-ave-821753/,No Parking,90029,BC,-
726 S Wilton Pl,303,Studio,Koreatown,https://www.affordablehousing.com/los-angeles-ca/800-n-vermont-ave-801015/,No Parking,90005,HACLA / BC,-
800 S Western Ave,Multiple,Studio,Koreatown,https://www.affordablehousing.com/los-angeles-ca/726-s-wilton-pl-794442/,No Parking,90010,HACLA / BC,-
905 S Vermont Ave,304,Studio,Koreatown,https://www.affordablehousing.com/los-angeles-ca/800-s-western-ave-807426/,No Parking,90068,HACLA / BC,-
16901 Napa St,201,Studio,Northridge,https://www.affordablehousing.com/los-angeles-ca/905-s-vermont-ave-784830/,1 Space,91343,HACLA / BC,-
